AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,AUTO_THEFT_COORDINATED_TRACED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
Punjab,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,165.0,267.0,629
Rajasthan,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,84.0,1263.0,5434
Tamil Nadu,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2357.0,2561.0,3645
Tripura,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,12.0,28
Uttar Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25.0,1315.0,6449
Uttarakhand,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,91.0,387
West Bengal,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,358.0,2093
Andaman & Nicobar Islands,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,5
Andhra Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2360.0,4659
Arunachal Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,32.0,117
Assam,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,11.0,181.0,551
Bihar,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,197.0,1983
Chandigarh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,129.0,368
Chhattisgarh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,522.0,1426
Dadra & Nagar Haveli,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,14
Daman & Diu,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,5.0,18
Delhi,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,143.0,997.0,4574
Goa,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,49.0,158
Gujarat,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,353.0,1517.0,6199
Haryana,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,1227.0,3696
Himachal Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,27.0,65
Jammu & Kashmir,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,52.0,291
Jharkhand,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6.0,108.0,476
Karnataka,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81.0,1054.0,5073
Kerala,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14.0,367.0,1203
Madhya Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,1740.0,5741
Maharashtra,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,319.0,2479.0,9518
Manipur,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,7.0,90
Meghalaya,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,4.0,23
Mizoram,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,0.0,0
Nagaland,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,39.0,170
Odisha,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105.0,405.0,1525
Puducherry,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,138.0,138.0,224
Punjab,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,152.0,319.0,695
Rajasthan,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,260.0,1027.0,5425
Sikkim,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1.0,1
Tamil Nadu,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2215.0,2353.0,3108
Tripura,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6.0,52
Uttar Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64.0,1292.0,5895
